7,12,7,10,9,15,60
6,12,6,11,10,15,60
5,11,8,12,10,15,60
8,10,8,10,9,16,60
6,11,7,11,8,12,55
7,11,7,10,10,14,58
7,13,7,11,10,14,62
6,10,8,11,9,15,58
7,11,7,12,8,15,60
6,11,7,11,10,15,59
7,12,8,11,10,15,63
6,11,4,11,10,16,58
6,11,7,11,10,14,59
7,12,7,10,9,12,57
8,12,8,11,11,15,65
6,12,8,11,10,16,62
7,12,7,10,10,15,61
6,12,7,13,10,14,62
7,11,8,12,9,15,60
6,12,7,12,10,14,61
6,13,8,9,10,14,58
7,10,8,12,9,13,59
5,11,7,10,10,13,56
7,12,8,10,10,14,60
6,11,6,11,10,15,59
7,12,7,11,10,14,61
6,12,8,11,10,14,60
7,12,8,8,10,16,61
7,12,8,12,11,15,65
5,12,8,11,9,14,59
6,12,7,11,7,15,57
7,12,7,11,10,14,61
7,12,9,12,11,11,62
6,11,8,12,10,14,61
6,11,8,11,10,12,58
6,13,8,11,10,14,60
8,12,7,10,10,16,63
6,11,7,12,10,15,61
4,12,6,11,9,16,58
7,11,8,11,11,13,61
7,12,8,10,8,15,60
6,10,7,12,11,13,59
5,12,8,11,10,13,59
7,12,8,12,11,15,65
7,11,7,11,9,15,60
6,11,8,12,11,15,62
6,12,9,11,10,15,63
5,12,7,12,11,16,63
6,12,7,10,10,14,59
5,11,7,11,10,12,56
6,13,7,10,10,14,59
7,12,8,10,10,14,61
6,12,8,10,9,13,57
7,12,8,11,11,13,62
7,12,7,11,9,14,60
5,11,8,10,10,16,60
6,12,8,9,8,15,58
7,12,8,10,11,13,61
6,12,7,11,10,14,60
6,12,7,12,10,15,62
6,13,7,10,10,16,61
7,12,7,12,9,13,60
6,12,8,12,10,16,64
5,11,6,10,10,15,57
7,10,8,10,10,14,59
7,12,7,12,10,13,61
7,12,7,12,10,13,61
8,13,7,10,10,15,63
4,11,7,10,10,16,57
6,11,6,13,10,16,62
7,12,7,11,10,13,60
7,13,8,12,11,16,66
7,11,7,10,10,15,60
5,13,7,10,10,15,60
6,12,6,11,10,15,60
7,12,6,11,9,13,58
6,11,6,11,10,14,58
7,12,7,11,10,15,62
6,11,7,10,10,14,58
6,12,8,12,10,14,62
7,11,7,11,10,15,60
6,12,7,12,9,15,60
7,11,8,11,10,15,62
7,12,8,11,11,14,63
7,11,6,8,9,13,54
6,12,7,11,10,15,61
6,12,8,10,9,17,62
7,12,7,12,10,15,62
6,12,8,12,9,16,62
7,12,7,12,10,13,61
6,11,8,11,9,16,61
6,12,7,12,9,12,58
7,12,7,11,9,13,59
6,11,7,11,9,15,57
6,13,7,11,11,15,63
6,12,8,12,10,14,62
6,12,8,12,10,14,62
6,11,8,10,10,16,61
6,12,7,11,7,15,58
7,11,8,11,8,14,59
